Date,Nifty Financial Services,Nifty IT,India VIX,Nifty Bank,Nifty 50
2020-03-20,9871.9501953125,12363.4501953125,67.0999984741211,20317.36328125,8745.4501953125
2020-03-23,8298.5,11179.599609375,71.98999786376953,16917.453125,7610.25
2020-03-24,8418.7001953125,11865.0498046875,83.61000061035156,17107.1015625,7801.0498046875
2020-03-25,9203.2998046875,12233.349609375,77.62999725341797,18480.8359375,8317.849609375
2020-03-26,9698.5498046875,12535.599609375,71.52999877929688,19613.671875,8641.4501953125
2020-03-27,9754.2998046875,12569.099609375,70.38999938964844,19968.767578125,8660.25
2020-03-30,9030.650390625,12318.7998046875,71.88999938964844,18782.181640625,8281.099609375
2020-03-31,9317.2998046875,12763.650390625,64.41000366210938,19143.77734375,8597.75
2020-04-01,8942.5498046875,12045.849609375,60.04999923706055,18208.138671875,8253.7998046875
2020-04-03,8562.099609375,11680.0498046875,55.29999923706055,17249.099609375,8083.7998046875
2020-04-07,9278.2998046875,12588.9501953125,51.79999923706055,19062.279296875,8792.2001953125
2020-04-08,9243.4501953125,12491.5498046875,52.2400016784668,18946.228515625,8748.75
2020-04-09,9803.0,12728.5498046875,49.75,19913.3671875,9111.900390625
2020-04-13,9500.650390625,12603.099609375,51.459999084472656,19487.7734375,8993.849609375
2020-04-15,9239.349609375,12702.599609375,49.7400016784668,19056.830078125,8925.2998046875
2020-04-16,9392.599609375,12463.599609375,46.099998474121094,19399.775390625,8992.7998046875
2020-04-17,9905.5498046875,12649.25,42.59000015258789,20681.208984375,9266.75
2020-04-20,9930.650390625,12847.650390625,43.459999084472656,20522.412109375,9261.849609375
2020-04-21,9468.7998046875,12408.849609375,45.20000076293945,19409.123046875,8981.4501953125
2020-04-22,9569.2001953125,12571.2998046875,42.81999969482422,19701.62109375,9187.2998046875
2020-04-23,9808.9501953125,13128.2001953125,39.22999954223633,20267.712890625,9313.900390625
2020-04-24,9431.849609375,12816.2001953125,39.119998931884766,19586.421875,9154.400390625
2020-04-27,9627.599609375,13121.150390625,38.040000915527344,20080.916015625,9282.2998046875
2020-04-28,9951.2001953125,13133.650390625,35.349998474121094,20670.859375,9380.900390625
2020-04-29,10292.900390625,13424.9501953125,33.84000015258789,21089.953125,9553.349609375
2020-04-30,10570.7998046875,14108.400390625,33.9900016784668,21534.25,9859.900390625
2020-05-04,9679.9501953125,13454.25,43.66999816894531,19743.521484375,9293.5
2020-05-05,9483.150390625,13388.0498046875,43.61000061035156,19271.525390625,9205.599609375
2020-05-06,9727.0,13394.7001953125,41.25,19694.322265625,9270.900390625
2020-05-07,9575.75,13292.7001953125,39.93000030517578,19491.57421875,9199.0498046875
2020-05-08,9559.349609375,13403.599609375,38.40999984741211,19352.67578125,9251.5
2020-05-11,9386.0498046875,13593.5498046875,38.040000915527344,18950.279296875,9239.2001953125
2020-05-12,9365.849609375,13687.75,38.209999084472656,18862.630859375,9196.5498046875
2020-05-13,9679.599609375,13776.9501953125,38.84000015258789,19634.720703125,9383.5498046875
2020-05-14,9355.650390625,13293.75,38.18000030517578,19068.279296875,9142.75
2020-05-15,9291.599609375,13196.349609375,38.02000045776367,18833.73046875,9136.849609375
2020-05-18,8675.400390625,13314.400390625,40.91999816894531,17572.994140625,8823.25
2020-05-19,8715.25,13446.599609375,39.45000076293945,17486.046875,8879.099609375
2020-05-20,8983.5,13517.400390625,35.810001373291016,17839.9921875,9066.5498046875
2020-05-21,8924.349609375,13647.900390625,32.9900016784668,17734.892578125,9106.25
2020-05-22,8651.7001953125,13842.650390625,32.380001068115234,17278.69921875,9039.25
2020-05-26,8673.650390625,13574.9501953125,31.469999313354492,17440.146484375,9029.0498046875
2020-05-27,9181.5,13952.900390625,31.270000457763672,18710.333984375,9314.9501953125
2020-05-28,9426.650390625,14028.599609375,30.020000457763672,19169.578125,9490.099609375
2020-05-29,9527.0498046875,14010.5,30.219999313354492,19297.025390625,9580.2998046875
2020-06-01,9873.5,14307.099609375,30.739999771118164,19959.66796875,9826.150390625
2020-06-02,10187.9501953125,14422.400390625,30.1200008392334,20529.9609375,9979.099609375
