Date,Axis Bank,Bandhan Bank,Bank of Baroda,Canara Bank,Federal Bank,HDFC Bank,ICICI Bank,IDFC First Bank,IndusInd Bank,Kotak Mahindra Bank,Punjab National Bank,RBL Bank,State Bank of India,Union Bank of India,Yes Bank,Bajaj Finserv,Bajaj Finance,Chola Finance,IIFL Finance,L&T Finance,LIC Housing Finance,M&M Financial,Manappuram Finance,Muthoot Finance,Power Finance Corp,REC Ltd,Shriram Transport
2020-09-18,0.0010155860864336224,-0.021687947154868333,-0.012134679378782565,-0.009077075791685615,-0.014347543590403342,-0.024570301632318936,0.0014892917063549767,-0.02696443078561281,-0.0067450265485989825,-0.021687673868097408,-0.019742437550507693,-0.016470285849255688,-0.014688979438362384,-0.023920269168051962,-0.007117494823454155,-0.0199328475025486,0.0008205156063193222,0.004581318937799042,0.006904507523240174,,-0.00967946652145049,-0.021162814268418123,0.005910989579336055,-0.01873737447421631,-0.013822749815906343,-0.0060005107018628635,
2020-09-21,-0.04616033200400663,-0.07486774369659772,-0.05006752770812949,-0.03138929793693161,-0.04130381450765603,-0.007595196947820766,-0.05235480832764069,-0.054513820869109254,-0.08968357242658934,0.008382316373716673,-0.06167963001302328,-0.06547991707776163,-0.035944750701683625,-0.030248009358733025,-0.03267076821317517,-0.03037976578816749,-0.042519421290337645,-0.03984415120537211,-0.042759034507211045,,-0.04036868367381016,-0.056739173871072864,-0.030548932073161852,-0.05606771999398221,-0.05388873045881215,-0.051780681553150555,
2020-09-22,-0.027175915662053133,-0.035806687558021855,-0.012918399199756804,-0.06645712437361431,-0.019260670067822755,-0.013335394889847354,0.010495057539845434,-0.025796841147141526,-0.030058269568228903,-0.013524343135183544,-0.01977001357407795,-0.017889718475455604,0.0021505219183439316,-0.021339290192935283,-0.02616974625936931,-0.005256783582384193,-0.008186434568444567,-0.000865150680608127,-0.050317385390799926,,-0.016265945243249848,-0.0635328685187713,-0.06200449669763154,-0.02913539135517683,-0.0130792985029798,-0.0043978486019043495,
2020-09-23,0.018635934549008328,0.001867726457624584,-0.017889641333233033,-0.01519879627455842,-0.008221963676447097,0.011379823619461257,-0.00722126876181502,-0.008748980762132713,-0.02975828853597687,0.0038099567491736443,-0.02357008148734739,0.000902272855590338,-0.012973146165394484,-0.013820563240973265,-0.003795085528045706,-0.0062938304688449215,-0.018070189892296796,-0.004772326155748236,-0.00821479378540452,,-0.030286921989637058,0.015536697688706181,-0.004091887976391344,0.029613825889752688,-0.013253131532111478,-0.02078269847485521,
2020-09-24,-0.042088338454696325,-0.05032139505041873,-0.04177508480986274,-0.05659121945390234,-0.05734052060046093,-0.01622056180818987,-0.046986970830077135,-0.05231129531755708,-0.07427562652569765,-0.023241237773632364,-0.04530389130785918,-0.05276559698710369,-0.04137741913437715,-0.012000046140687417,-0.015325956197682625,-0.03991531364690028,-0.06856114653247086,-0.0006524787374348039,-0.027011514497318614,,-0.06270572617624236,-0.05612955676418651,-0.03866056269940461,-0.025630675073991884,-0.04326600085297933,-0.048140271448899416,
2020-09-25,0.0308281133051342,0.039250803869036795,0.041775084809862695,0.0446083175247526,0.04173964305601485,0.013112283219884188,0.037850587017446494,0.08345573330878842,0.04896017780817685,0.005562046300524366,0.03502974943254008,0.044313938775411475,0.03263416920484212,-0.024441213449458255,0.03042064000378377,0.06727981052696512,0.035688529711341344,0.037998149065669874,0.037112531062310654,,0.03517708239938513,0.058210688824806074,0.08342464186054319,0.06530199912168362,0.03335614595275738,0.03859486931389096,
2020-09-28,0.056669814737822635,0.05666579541434134,0.04240921780910135,0.043802630974832786,0.057041813541546096,0.009722787184316562,0.04033431114460154,0.035149982443321084,0.07527262298267434,0.020263299107507748,0.03716658116863566,0.05139926427784794,0.02733970046121844,0.022427008377846162,0.014870147981314023,0.03098818463692583,0.06062953847647724,0.041642847421897125,0.013724449988110694,,0.042343962266252304,0.03954048423410996,0.02356837578171988,0.0020668299715742447,0.03000814883654727,0.03032810060986367,
2020-09-29,-0.02863606912324696,-0.024911117122261642,-0.04723423826473184,-0.017738900376063346,-0.02607971181602733,0.007889593745230994,-0.01652703167887404,-0.011579985352184472,-0.03454778506004116,-0.012156221319963531,-0.035446804330976495,-0.02124325864217609,-0.011818653592566378,-0.004040346065973806,-0.01487014798131398,-0.018419663651547655,-0.012187459016048013,0.011784862515380884,0.00740743288175626,,-0.011762659631597052,-0.0036035484257330042,0.003185690899330107,0.03653313346137095,0.0034052108767325595,-0.019283604435234518,
2020-09-30,-0.0051675412997785625,-0.0020126437614863615,-0.007281573271203084,-0.006171009696885646,-0.012270060437260024,0.014992293047233696,-0.006462596624707853,-0.003333292490979575,-0.016641063632606704,0.00391078553945935,-0.019081311025357456,-0.0005883859596966195,0.001889761479279225,-0.014271307913329664,-0.015094683806101046,-0.004152137336025471,-0.004913781877010833,-0.01058025931009262,-0.02176032892229586,,-0.011177410440086445,-0.01251291501187807,-0.00031788452843311616,0.0015468847038299575,-0.023503504813057706,-0.010539781608463819,
2020-10-01,0.04388337586006475,0.04564557466330049,0.021687560642371262,0.009521295546125158,0.038349772253287326,0.02594415941111042,0.039925238262147666,0.013267208673876076,0.11588514977479107,0.02864273115592199,-0.01945242619144293,0.04573051647731198,0.02608600856120093,-0.0041153543985427005,0.011342319954006693,0.03381011699770997,0.04886854534565424,0.03296472621694554,0.015591301351274225,,0.017075974390026286,0.05184150780165158,0.05749404620680401,0.018943140539796417,0.028025823327189555,0.03324584905894864,
2020-10-05,0.0010136868617338414,0.02283450930176915,-0.009580966915537642,0.00611258603089197,0.005923042341672099,0.00666310579503848,0.01050801063038122,-0.004954527480675661,0.015665096502976275,0.007291191050033797,0.01065730141508724,-0.014441772925404366,-0.008178412161757284,0.012295230173553738,0.003752363852094247,-0.02890096682989198,-0.01755182793359376,-0.020004578417912443,-0.012453413278108233,,-0.02034462251627431,-0.006189341741889526,0.0024000268589117867,0.00665188570877704,-0.015345670639345228,-0.03526607505027318,
